1571933909149,7
1571933909157,20
1571933909165,51
1571933909173,88
1571933909181,144
1571933909189,225
1571933909197,303
1571933909205,376
1571933909213,454
1571933909221,525
1571933909229,598
1571933909237,671
1571933909245,718
1571933909253,718
1571933909261,681
1571933909269,591
1571933909277,447
1571933909285,303
1571933909293,181
1571933909301,78
1571933909309,10
1571933909317,-32
1571933909325,-78
1571933909333,-112
1571933909341,-137
1571933909349,-176
1571933909357,-198
1571933909365,-186
1571933909373,-183
1571933909381,-183
1571933909389,-161
1571933909397,-154
1571933909405,-166
1571933909413,-168
1571933909421,-161
1571933909429,-144
1571933909437,-134
1571933909445,-134
1571933909453,-129
1571933909461,-127
1571933909469,-139
1571933909477,-151
1571933909485,-134
1571933909493,-110
1571933909501,-120
1571933909509,-139
1571933909517,-127
1571933909525,-112
1571933909533,-115
1571933909541,-117
1571933909549,-122
1571933909557,-107
1571933909565,-100
1571933909573,-127
1571933909581,-127
1571933909589,-98
1571933909597,-117
1571933909605,-139
1571933909613,-107
1571933909621,-88
1571933909629,-112
1571933909637,-122
1571933909645,-105
1571933909653,-105
1571933909661,-117
1571933909669,-120
1571933909677,-117
1571933909685,-112
1571933909693,-103
1571933909701,-100
1571933909709,-103
1571933909717,-93
1571933909725,-78
1571933909733,-54
1571933909741,-29
1571933909749,-24
1571933909757,2
1571933909765,85
1571933909773,149
1571933909781,129
1571933909789,83
1571933909797,49
1571933909805,-7
1571933909813,-66
1571933909821,-95
1571933909829,-107
1571933909837,-127
1571933909845,-137
1571933909853,-117
1571933909861,-220
1571933909869,-425
1571933909877,27
1571933909885,1216
1571933909893,1643
1571933909901,801
1571933909909,-15
1571933909917,-173
1571933909925,-98
1571933909933,-15
1571933909941,17
1571933909949,-12
1571933909957,-10
1571933909965,7
1571933909973,20
1571933909981,51
1571933909989,88
1571933909997,144
1571933910005,225
1571933910013,303
1571933910021,376
1571933910029,454
1571933910037,525
1571933910045,598
1571933910053,671
1571933910061,718
1571933910069,718
1571933910077,681
1571933910085,591
1571933910093,447
1571933910101,303
1571933910109,181
1571933910117,78
1571933910125,10
1571933910133,-32
1571933910141,-78
1571933910149,-112
1571933910157,-137
1571933910165,-176
1571933910173,-198
1571933910181,-186
1571933910189,-183
1571933910197,-183
1571933910205,-161
1571933910213,-154
1571933910221,-166
1571933910229,-168
1571933910237,-161
1571933910245,-144
1571933910253,-134
1571933910261,-134
1571933910269,-129
1571933910277,-127
1571933910285,-139
1571933910293,-151
1571933910301,-134
1571933910309,-110
1571933910317,-120
1571933910325,-139
1571933910333,-127
1571933910341,-112
1571933910349,-115
1571933910357,-117
1571933910365,-122
1571933910373,-107
1571933910381,-100
1571933910389,-127
1571933910397,-127
1571933910405,-98
1571933910413,-117
1571933910421,-139
1571933910429,-107
1571933910437,-88
1571933910445,-112
1571933910453,-122
1571933910461,-105
1571933910469,-105
1571933910477,-117
1571933910485,-120
1571933910493,-117
1571933910501,-112
1571933910509,-103
1571933910517,-100
1571933910525,-103
1571933910533,-93
1571933910541,-78
1571933910549,-54
1571933910557,-29
1571933910565,-24
1571933910573,2
1571933910581,85
1571933910589,149
1571933910597,129
